x,y,yerr
685.4308093994774,1.2281015145725545e-07,1.1431729181284477e-08
685.1877887125924,1.2345137187622563e-07,1.491992975603896e-08
684.9447680257073,1.2351868326889227e-07,2.0768618759861166e-08
684.7017473388222,9.948397648559914e-08,1.4117436879443986e-08
684.458726651937,1.1795857340661198e-07,2.2302016930822097e-08
684.2157059650519,1.283427578851026e-07,1.410833807500966e-08
683.9726852781669,1.0268001904646166e-07,1.5590324429993754e-08
683.7296645912836,1.1981665697769203e-07,1.5982422365124735e-08
683.4866439043984,9.943477902104536e-08,7.4163956621315e-09
683.2436232175133,1.0273071767475523e-07,1.4568677014882989e-08
683.0006025306283,9.923472736666075e-08,1.0775626908627745e-08
682.7575818437431,1.2243859425369294e-07,1.3244137375251853e-08
682.514561156858,8.814630883826455e-08,1.319426210702621e-08
682.2715404699729,9.042647117635599e-08,1.3294661643868656e-08
682.0285197830879,5.5470582723008795e-08,9.781267344245594e-09
681.7854990962027,7.290450142244133e-08,1.5620401758607977e-08
681.5424784093194,9.317993501662532e-08,1.8313156828098257e-08
681.2994577224343,8.485141062309049e-08,1.5130636179842738e-08
681.0564370355492,8.2164412462307e-08,1.856929756078469e-08
680.8134163486641,9.388121742838039e-08,1.4369287197228753e-08
680.570395661779,6.408378938192581e-08,1.1748622566280974e-08
680.3273749748939,8.149194366092132e-08,1.0519013846829433e-08
680.0843542880087,1.0540954329595134e-07,9.730778305846175e-09
679.8413336011237,8.192671115107936e-08,1.0015405293812419e-08
679.5983129142386,8.459107148408027e-08,9.256888334165716e-09
679.3552922273535,7.62934616485642e-08,1.2993455154418522e-08
679.1122715404701,8.814803853236175e-08,1.1186885108742637e-08
678.8692508535851,7.015816177683663e-08,1.0668528422074514e-08
678.6262301667,6.167030518291795e-08,1.256108360232787e-08
678.3832094798148,6.732295836229253e-08,1.0733303582271706e-08
678.1401887929297,7.015886513934085e-08,5.52782997530171e-09
677.8971681060447,6.139021516483887e-08,1.0956914227903179e-08
677.6541474191596,1.024385691613564e-07,1.4744871387640308e-08
677.4111267322744,6.704483519173823e-08,9.695233400517438e-09
677.1681060453893,7.581504641856287e-08,1.4589893220911132e-08
676.9250853585042,8.766666943197214e-08,1.4483007401724402e-08
676.682064671621,7.560318372329789e-08,1.4329009180963651e-08
676.4390439847358,8.510738932688517e-08,1.8235771670063487e-08
676.1960232978507,7.614377308185059e-08,1.0671302640643196e-08
675.9530026109657,6.127673418104988e-08,1.5272169782393858e-08
